# independent model
 errors  N_1  N_2  dNk  dNk_w_noise
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            2
      2    0    4    4            4
      1    0    2    2            3
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            0
      0    0    0    0            1
      1    0    2    2            3
      0    0    0    0            0
      1    0    2    2            5
      0    0    0    0            0
      0    0    0    0            3
      0    0    0    0            0
      2    0    4    4            5
      0    0    0    0            3
      1    2    0    2            4
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            0
      1    0    2    2            2
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            1
      1    2    0    2            7
      1    2    0    2            4
      0    0    0    0            1
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      1    2    0    2            3
      0    0    0    0            2
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            2
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            4
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            3
      0    0    0    0            0
      1    0    2    2            3
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            0
      2    2    2    0            0
      0    0    0    0            2
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            1
      0    0    0    0            1
      1    0    2    2            3
      0    0    0    0            1
      1    0    2    2            2
      0    0    0    0            1
      0    0    0    0            0
      0    0    0    0            2
      0    0    0    0            3
      0    0    0    0            3
      1    2    0    2            3
      0    0    0    0            3
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            3
      1    0    2    2            4
      0    0    0    0            2
      0    0    0    0            0
      1    0    2    2            2
      0    0    0    0            1
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            3
      1    0    2    2            3
      0    0    0    0            2
      0    0    0    0            0
      3    2    4    2            2
      1    0    2    2            4
      2    2    2    0            2
      0    0    0    0            1
      0    0    0    0            1
      1    2    0    2            5
      0    0    0    0            2
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            2
      0    0    0    0            1
      1    0    2    2            5
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            0
      1    0    2    2            2
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            0
      1    2    0    2            2
      0    0    0    0            1
      0    0    0    0            2
      1    0    2    2            3
      0    0    0    0            0
      1    0    2    2            2
      1    0    2    2            2
      0    0    0    0            1
      0    0    0    0            3
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            0
      0    0    0    0            4
      0    0    0    0            2
      0    0    0    0            1
      1    2    0    2            3
      0    0    0    0            0
      1    2    0    2            3
      1    2    0    2            3
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            2
      1    2    0    2            2
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            1
      1    2    0    2            3
      0    0    0    0            1
      0    0    0    0            2
      1    2    0    2            4
      0    0    0    0            2
      0    0    0    0            1
      1    2    0    2            4
      0    0    0    0            0
      0    0    0    0            0
      1    0    2    2            3
      0    0    0    0            1
      0    0    0    0            2
      1    0    2    2            3
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            1
      1    0    2    2            3
      0    0    0    0            3
      0    0    0    0            1
      1    0    2    2            7
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            4
      0    0    0    0            1
      1    0    2    2            3
      0    0    0    0            3
      2    0    4    4            5
      0    0    0    0            0
      0    0    0    0            2
      0    0    0    0            1
      1    2    0    2            2
      0    0    0    0            1
      0    0    0    0            0
      0    0    0    0            1
      1    2    0    2            3
      0    0    0    0            1
      0    0    0    0            0
      2    4    0    4            5
      1    0    2    2            3
      0    0    0    0            1
      1    0    2    2            2
      1    2    0    2            4
      0    0    0    0            0
      1    0    2    2            4
      0    0    0    0            0
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            1
      3    4    2    2            4
      0    0    0    0            1
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            2
      0    0    0    0            1
      0    0    0    0            2
      0    0    0    0            0
      0    0    0    0            0
      0    0    0    0            0
